Date,Open,High,Low,Close,Adj Close,Volume
2023-06-19,11305.7900390625,11307.75,11244.419921875,11274.0498046875,11274.0498046875,1309700
2023-06-20,11260.150390625,11338.150390625,11248.1396484375,11305.349609375,11305.349609375,1230800
2023-06-21,11262.83984375,11278.9697265625,11058.6298828125,11058.6298828125,11058.6298828125,1208000
2023-06-26,10963.6201171875,11002.3701171875,10848.7197265625,10872.2998046875,10872.2998046875,1328900
2023-06-27,10879.490234375,10987.1904296875,10863.66015625,10978.080078125,10978.080078125,1043400
2023-06-28,10947.8896484375,10951.41015625,10792.349609375,10926.3203125,10926.3203125,1101000
2023-06-29,10909.080078125,10965.1103515625,10880.8798828125,10915.5,10915.5,1074000
2023-06-30,10897.419921875,11067.3896484375,10883.5703125,11026.58984375,11026.58984375,1125300
2023-07-03,11059.3095703125,11128.9296875,11028.240234375,11091.5595703125,11091.5595703125,1321600
2023-07-04,11080.6396484375,11133.4501953125,11055.259765625,11130.2998046875,11130.2998046875,1127200
2023-07-05,11129.1201171875,11129.1201171875,11014.3896484375,11029.2998046875,11029.2998046875,1054800
2023-07-06,11001.8701171875,11072.0703125,10954.150390625,10968.3701171875,10968.3701171875,1067100
2023-07-07,10939.2900390625,10949.98046875,10852.9599609375,10888.5498046875,10888.5498046875,1032300
2023-07-10,10926.3603515625,10995.7998046875,10901.83984375,10942.830078125,10942.830078125,958400
2023-07-11,10953.8798828125,11030.1904296875,10933.23046875,11028.6796875,11028.6796875,910200
2023-07-12,11020.3603515625,11029.2900390625,10905.849609375,10919.259765625,10919.259765625,1146900
2023-07-13,10963.23046875,11103.080078125,10963.23046875,11095.4404296875,11095.4404296875,1168300
2023-07-14,11108.919921875,11120.1904296875,11069.3203125,11080.3203125,11080.3203125,1183600
2023-07-17,11039.1298828125,11039.1298828125,10963.4697265625,11010.3603515625,11010.3603515625,948900
2023-07-18,11030.98046875,11032.1201171875,10947.509765625,10972.9599609375,10972.9599609375,923200
2023-07-19,10959.0400390625,10992.6904296875,10876.9599609375,10932.650390625,10932.650390625,791300
2023-07-20,10947.6298828125,10998.0703125,10804.349609375,10816.26953125,10816.26953125,981100
2023-07-21,10801.33984375,10886.73046875,10775.349609375,10810.1796875,10810.1796875,834100
2023-07-24,10771.6396484375,10837.98046875,10730.9404296875,10747.7900390625,10747.7900390625,766900
2023-07-25,10909.1904296875,11021.9296875,10909.1904296875,11021.2900390625,11021.2900390625,1392100
2023-07-26,11001.8603515625,11001.8603515625,10942.41015625,10968.98046875,10968.98046875,1082800
2023-07-27,10985.580078125,11024.009765625,10904.740234375,10923.76953125,10923.76953125,1050100
2023-07-28,10895.48046875,11120.58984375,10877.400390625,11100.400390625,11100.400390625,1470400
2023-07-31,11158.7197265625,11289.16015625,11153.7197265625,11183.91015625,11183.91015625,1733700
2023-08-01,11168.5,11211.6796875,11102.83984375,11143.23046875,11143.23046875,1329900
2023-08-02,11120.8603515625,11176.9404296875,11073.23046875,11104.16015625,11104.16015625,1117200
2023-08-03,11067.75,11164.759765625,11067.2900390625,11163.419921875,11163.419921875,1140100
2023-08-04,11229.4599609375,11305.5,11185.900390625,11238.0595703125,11238.0595703125,1566700
2023-08-07,11207.580078125,11207.580078125,11113.1396484375,11145.0302734375,11145.0302734375,1272100
2023-08-08,11126.6904296875,11156.2099609375,11075.4501953125,11098.4501953125,11098.4501953125,1057100
2023-08-09,11068.5302734375,11096.9296875,11023.3701171875,11039.4501953125,11039.4501953125,936000
2023-08-10,11023.240234375,11060.4697265625,10974.5,11050.2197265625,11050.2197265625,847800
2023-08-11,11060.849609375,11060.849609375,10808.8701171875,10808.8701171875,10808.8701171875,1036300
2023-08-14,10697.8095703125,10763.2998046875,10607.7099609375,10755.1396484375,10755.1396484375,980000
2023-08-15,10764.7998046875,10780.51953125,10589.849609375,10679.73046875,10679.73046875,881200
2023-08-16,10640.1298828125,10686.919921875,10579.4697265625,10579.5595703125,10579.5595703125,870600
2023-08-17,10540.4404296875,10656.830078125,10469.7900390625,10644.51953125,10644.51953125,908800
2023-08-18,10637.6796875,10655.6103515625,10458.509765625,10458.509765625,10458.509765625,887800
2023-08-21,10432.9501953125,10482.1103515625,10320.3896484375,10320.3896484375,10320.3896484375,849300
2023-08-22,10376.8603515625,10409.4296875,10198.009765625,10374.73046875,10374.73046875,1035500
2023-08-23,10351.7001953125,10351.7001953125,10151.8203125,10152.599609375,10152.599609375,885200
2023-08-24,10203.1396484375,10341.8603515625,10153.4404296875,10256.1904296875,10256.1904296875,1041100
2023-08-25,10197.9599609375,10212.650390625,10091.8603515625,10130.4697265625,10130.4697265625,1042800
2023-08-28,10714.6904296875,10714.6904296875,10204.98046875,10233.150390625,10233.150390625,1720100
2023-08-29,10204.25,10496.6201171875,10200.849609375,10454.98046875,10454.98046875,1534200
